tau_lanina,order,val_recall_LN,val_precision_LN,val_bal_acc,val_macro_f1,test_recall_LN,test_precision_LN
1.0,0,0.475,0.9047619047619048,0.7134095484613172,0.6799684312564875,0.41025641025641024,0.8
1.25,1,0.525,0.7777777777777778,0.7082182916307161,0.6714305365863243,0.5128205128205128,0.7692307692307693
1.5,2,0.55,0.6875,0.6946937014667817,0.6534836156684896,0.5641025641025641,0.6470588235294118
1.75,3,0.55,0.6111111111111112,0.6728357779695139,0.6271735238717913,0.5897435897435898,0.6388888888888888
2.0,4,0.6,0.631578947368421,0.6895024446361807,0.642910397651232,0.5897435897435898,0.6216216216216216
2.25,5,0.6,0.6,0.6785734828875468,0.629490715205001,0.5897435897435898,0.6052631578947368
2.5,6,0.675,0.6136363636363636,0.6981090020132298,0.6449551783330154,0.6410256410256411,0.5813953488372093
2.75,7,0.725,0.6304347826086957,0.7147756686798964,0.6592733217317935,0.7435897435897436,0.5686274509803921
3.0,8,0.725,0.5918367346938775,0.6983822260569457,0.6380634650864091,0.8205128205128205,0.5818181818181818
