fold,n,persist_recall_LN,unweighted_recall_LN,weighted_recall_LN,unweighted_macro_f1,weighted_macro_f1
2005-2006,24,0.2,0.2,0.2,0.6555555555555556,0.5992063492063493
2007-2008,24,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4038095238095238,0.38674780256930363
2009-2010,24,0.6,0.7,0.7,0.77593430534607,0.6631224525961369
2011-2012,24,0.75,0.5,0.5,0.44168734491315137,0.41269841269841273
2013-2014,24,0.0,0.0,0.0,0.4701064701064701,0.4701064701064701
2015-2016,24,0.0,0.5,0.5,0.5592592592592592,0.5592592592592592
2017-2018,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6650821944939592,0.6300653594771242
2019-2020,24,0.5,0.625,0.625,0.5720668220668221,0.5720668220668221
2021-2022,24,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.38694638694638694,0.45414294750158124
2023-2024,24,0.0,0.0,0.0,0.5831884057971014,0.5831884057971014
2025-2025,11,0.0,0.0,0.3333333333333333,0.2807017543859649,0.407843137254902
